TIC_ID,dist,dist_e,Gmag0,Gmag0_e,BmV0,BmV0_e,VmG0,VmG0_e,GmT0,GmT0_e,EBV,EBV_e,blend,blend_e,TIC_Gmag,TIC_Teff,TIC_Teff_e,TIC_rad,TIC_rad_e,TIC_mass,TIC_mass_e,flags
427500273,1991.15,160.02,11.11928832,0.0903184727906344,0.1833559999999985,0.2495931312253805,-0.1980847199999985,0.1091790551937504,0.0168949599999996,0.0141778530715931,0.168644,0.0118967,0.2348152377637633,0.1934285411704106,11.578,9023.0,179.368,4.56244,0.378875,2.28,0.316844,[]
154913773,955.94,42.859,10.9411832,0.064899696115982,0.0683099999999993,0.1153999856996958,-0.0715221999999988,0.090802931235726,-0.0208754000000009,0.0171013374625449,0.10269,0.0145893,0.2293130472752732,0.1702838846234937,11.2205,9581.0,248.12,2.20508,0.115256,2.44,0.33515,[]
316621853,822.044,24.815,11.03945536,0.284954661095029,0.0265129999999998,0.2622123215321364,0.0664349400000005,0.2909726982317241,0.1133185800000001,0.0553283617836042,0.486487,0.05457015,0.1027151940746597,0.0794124269561332,12.3627,8008.0,393.71,2.32814,0.0885878,1.93,0.318824,[]
269323587,1301.74,43.845,9.39780544,0.2975078357889695,-0.235748000000001,0.3290291170067476,-0.0194242399999992,0.3055514022222775,0.0656263199999989,0.0227263596810343,0.583748,0.0211832,0.1589805066283159,0.0526139883720365,10.9856,8439.0,123.0,7.24159,,,,[]
53172771,1067.68,32.795,11.33603904,0.0558029772337037,0.0206319999999987,0.1890715503543069,-0.1254798399999998,0.0765922193959673,0.0630771199999995,0.009924941286439,0.103368,0.007734035,0.1896918309153526,0.1793684756071781,11.6172,8466.0,135.499,2.42064,0.103719,2.1,0.310612,[]
285786376,2984.37,252.705,9.94057888,0.4861956057702652,0.4316539999999997,0.4645195866882687,-0.0235514800000008,0.4833885764579051,-0.0280683600000004,0.0768107431938412,0.889346,0.0722798,0.3450745562780282,0.4347762462420966,12.3596,9698.0,123.0,10.7554,,,,[]
309682332,200.561,2.661,8.064475999999999,0.131483592416286,0.4997375000000003,0.0676536426355041,0.0969102499999996,0.1394286254345301,0.33707675,0.0323348526629135,0.0382625,0.0478227,0.0122790298369583,0.0154954074254027,8.16855,6382.0,292.09,3.41736,0.156844,1.275,0.234985,[]
27103801,1195.07,76.39,10.40783088,0.1521189727306134,0.1738789999999992,0.2227345554175642,-0.2794059800000001,0.1655742179816954,0.084200140000001,0.0178255954268696,0.292121,0.0156209,0.3212591309842211,0.2081041494298838,11.2024,8258.0,174.068,4.3145,0.30199,2.03,0.304052,[]
36331019,516.842,12.319,9.93859984,0.0651509602907739,0.0896470000000007,0.080518617154668,-0.1223941399999998,0.086105354747832,-0.0031529800000008,0.0092721593009665,0.117353,0.0104075,0.0971275925246626,0.0637858293093849,10.2578,9308.0,185.407,1.95965,0.0681709,2.36,0.327436,[]
233841767,1409.63,70.695,9.49530144,0.0785777396706955,-0.0015729999999994,0.0894035737138762,-0.0751777400000006,0.0989565397851501,-0.050858179999999,0.0146662938345386,0.141573,0.01254075,0.029996420522162,0.0340347121831546,9.88038,10105.0,127.0,5.94874,,,,[]
